English Sentence,English NER Tagged,Chinese Sentence,Chinese NER Tagged,Merged English NER Tagged,Merged Chinese NER Tagged
"And at the same time that we had students in the lab looking at this, we also had community partners in Haiti working to develop the process, to improve it and make it more accessible to people in the villages there.","[{'entity': 'I-LOC', 'score': 0.9999956, 'index': 23, 'word': '▁Hai', 'start': 104, 'end': 107}, {'entity': 'I-LOC', 'score': 0.9999937, 'index': 24, 'word': 'ti', 'start': 107, 'end': 109}]",一方面我的?生?在??室里研究 一方面海地的社?伙伴也同我?合作 努力改良炭?，?人人都用得上,"[{'entity': 'I-LOC', 'score': 0.9999957, 'index': 11, 'word': '海', 'start': 19, 'end': 20}, {'entity': 'I-LOC', 'score': 0.9999888, 'index': 12, 'word': '地', 'start': 20, 'end': 21}]","[{'word': 'Haiti', 'tag': 'I-LOC', 'score': 0.9999937}]","[{'word': '海地', 'tag': 'I-LOC', 'score': 0.9999888}]"
"And after some time, we developed a low-cost press that allows you to produce charcoal, actually, it burns longer, cleaner than wood charcoal.",[],一段??之后 我??明了低成本制木炭法，新的?品 比一般木炭燃?更持久也更清洁,[],[],[]
"So now we're in a situation where we have a product, which is actually better than what you can buy in Haiti in the marketplace, which is a very wonderful place to be.","[{'entity': 'I-LOC', 'score': 0.9999958, 'index': 25, 'word': '▁Hai', 'start': 103, 'end': 106}, {'entity': 'I-LOC', 'score': 0.9999938, 'index': 26, 'word': 'ti', 'start': 106, 'end': 108}]",所以我??在就有一? 比海地市?上的木炭更好的?品 ?是一?很好的??,"[{'entity': 'I-LOC', 'score': 0.99999, 'index': 8, 'word': '海', 'start': 12, 'end': 13}, {'entity': 'I-LOC', 'score': 0.99997413, 'index': 9, 'word': '地', 'start': 13, 'end': 14}]","[{'word': 'Haiti', 'tag': 'I-LOC', 'score': 0.9999938}]","[{'word': '海地', 'tag': 'I-LOC', 'score': 0.99997413}]"
"In Haiti alone, about 30 million trees are cut down every year.","[{'entity': 'I-LOC', 'score': 0.99999404, 'index': 2, 'word': '▁Hai', 'start': 3, 'end': 6}, {'entity': 'I-LOC', 'score': 0.99999416, 'index': 3, 'word': 'ti', 'start': 6, 'end': 8}]",?海地一?，每年就有3000万棵?被砍伐,"[{'entity': 'I-LOC', 'score': 0.9999945, 'index': 3, 'word': '海', 'start': 1, 'end': 2}, {'entity': 'I-LOC', 'score': 0.99998903, 'index': 4, 'word': '地', 'start': 2, 'end': 3}]","[{'word': 'Haiti', 'tag': 'I-LOC', 'score': 0.99999404}]","[{'word': '海地', 'tag': 'I-LOC', 'score': 0.99998903}]"
There's a possibility of this being implemented and saving a good portion of those.,[],???品如果能得到?用 能救很多?,[],[],[]
"In addition, the revenue generated from that charcoal is 260 million dollars.",[],另外，?种新木炭每年能?收2.6?美元,[],[],[]
That's an awful lot for a country like Haiti -- with a population of eight million and an average income of less than 400 dollars.,"[{'entity': 'I-LOC', 'score': 0.9999968, 'index': 13, 'word': '▁Hai', 'start': 39, 'end': 42}, {'entity': 'I-LOC', 'score': 0.99999654, 'index': 14, 'word': 'ti', 'start': 42, 'end': 44}]",?可是一大?? 海地人口800万 人均收入不足400美元,"[{'entity': 'I-LOC', 'score': 0.99999785, 'index': 7, 'word': '海', 'start': 8, 'end': 9}, {'entity': 'I-LOC', 'score': 0.99999547, 'index': 8, 'word': '地', 'start': 9, 'end': 10}]","[{'word': 'Haiti', 'tag': 'I-LOC', 'score': 0.99999654}]","[{'word': '海地', 'tag': 'I-LOC', 'score': 0.99999547}]"
So this is where we're also moving ahead with our charcoal project.,[],因此我?想在海地????木炭?目,"[{'entity': 'I-LOC', 'score': 0.99999416, 'index': 6, 'word': '海', 'start': 6, 'end': 7}, {'entity': 'I-LOC', 'score': 0.9999875, 'index': 7, 'word': '地', 'start': 7, 'end': 8}]",[],"[{'word': '海地', 'tag': 'I-LOC', 'score': 0.9999875}]"
"And one of the things that I think is also interesting, is I have a friend up at UC Berkeley who's been doing risk analysis.","[{'entity': 'I-ORG', 'score': 0.99994504, 'index': 20, 'word': '▁UC', 'start': 81, 'end': 83}, {'entity': 'I-ORG', 'score': 0.99995136, 'index': 21, 'word': '▁Ber', 'start': 84, 'end': 87}, {'entity': 'I-ORG', 'score': 0.9998926, 'index': 22, 'word': 'ke', 'start': 87, 'end': 89}, {'entity': 'I-ORG', 'score': 0.9998784, 'index': 23, 'word': 'ley', 'start': 89, 'end': 92}]",?有一件有意思的事情是 我有?朋友在伯克利大?是做??研究的,"[{'entity': 'I-ORG', 'score': 0.99994886, 'index': 12, 'word': '伯', 'start': 18, 'end': 19}, {'entity': 'I-ORG', 'score': 0.9999628, 'index': 13, 'word': '克', 'start': 19, 'end': 20}, {'entity': 'I-ORG', 'score': 0.9999275, 'index': 14, 'word': '利', 'start': 20, 'end': 21}, {'entity': 'I-ORG', 'score': 0.99985933, 'index': 15, 'word': '大?', 'start': 21, 'end': 23}]","[{'word': 'UC Berkeley', 'tag': 'I-ORG', 'score': 0.9998784}]","[{'word': '伯克利大?', 'tag': 'I-ORG', 'score': 0.99985933}]"
And he's looked at the problem of the health impacts of burning wood versus charcoal.,[],他研究了?健康 木材和木炭分??造成什么影? 他??只要改用木炭作燃料,[],[],[]
"And he's found that worldwide, you could prevent a million deaths switching from wood to charcoal as a cooking fuel.",[],在世界范??就能有100万人可以幸免于? ?真是很棒 本?做木炭都是需要木材的,[],[],[]
But now we have a way that's using an agricultural waste material to create a cooking fuel.,[],但?在我?能 ????物?炊事燃料,[],[],[]
"One of the really exciting things, though, is something that came out of the trip that I took to Ghana just last month.","[{'entity': 'I-LOC', 'score': 0.99999654, 'index': 22, 'word': '▁Ghana', 'start': 97, 'end': 102}]",最?人激?的是 上?月我去加??了解到的一?信息,"[{'entity': 'I-LOC', 'score': 0.9999937, 'index': 10, 'word': '加', 'start': 13, 'end': 14}, {'entity': 'I-LOC', 'score': 0.9999969, 'index': 11, 'word': '?', 'start': 14, 'end': 15}]","[{'word': 'Ghana', 'tag': 'I-LOC', 'score': 0.99999654}]","[{'word': '加?', 'tag': 'I-LOC', 'score': 0.9999937}]"
"And I think it's the coolest thing, and it's even lower tech than what you just saw, if you can imagine such a thing. Here it is.",[],??不但非常酷 而且在技??面上也比前面的那些更?? 如果你?能想象的到的?。就是??。,[],[],[]
So what is this? This is corncobs turned into charcoal.,[],?是什么呢？?是把玉米棒做成木炭,[],[],[]
"And the beauty of this is that you don't need to form briquettes -- it comes ready made. This is my $100 laptop, right here.",[],??的好?就是你都不需要把炭??成? 因?玉米棒本?就是一??的。 ?就是我的100美元手提???目了,[],[],[]
"And actually, like Nick, I brought samples.","[{'entity': 'I-PER', 'score': 0.9997688, 'index': 5, 'word': '▁Nick', 'start': 19, 'end': 23}]",和尼克一?，我也?了?品?大家,"[{'entity': 'I-PER', 'score': 0.9999435, 'index': 3, 'word': '尼克', 'start': 1, 'end': 3}]","[{'word': 'Nick', 'tag': 'I-PER', 'score': 0.9997688}]","[{'word': '尼克', 'tag': 'I-PER', 'score': 0.9999435}]"
So we can pass these around.,[],大家相互?一下,[],[],[]
"They're fully functional, field-tested, ready to roll out.",[],很好用，????，能立刻燃?,[],[],[]
"which is also remarkable about this technology, is that the technology transfer is so easy.",[],??技?妙在 容易??,[],[],[]
"Compared to the sugarcane charcoal, where we have to teach people how to form it into briquettes and you have the extra step of cooking the binder, And this is about the most exciting thing in my life right now, which is perhaps a sad commentary on my life.",[],就甘蔗木炭而言 我?要培??地人如何??木炭 ?要多出一步制粘合? 玉米棒木炭自己成型，不需????的步? 而?是我一生中最?我激?的事了 也是我一?小小的?憾的注?,[],[],[]
"But once you see it, like you guys in the front row -- All right, yeah, OK.",[],但是一旦你??，就像第一排的人 恩，?，反正,[],[],[]
"And this is, I think, a perfect example of what Robert Wright was talking about in those non-zero-sum things.","[{'entity': 'I-PER', 'score': 0.9999907, 'index': 13, 'word': '▁Robert', 'start': 48, 'end': 54}, {'entity': 'I-PER', 'score': 0.99999154, 'index': 14, 'word': '▁Wright', 'start': 55, 'end': 61}]",我?得?是最能 体??伯特.怀特?的非零和事物,"[{'entity': 'I-PER', 'score': 0.9999528, 'index': 8, 'word': '?', 'start': 10, 'end': 11}, {'entity': 'I-PER', 'score': 0.9999721, 'index': 9, 'word': '伯特', 'start': 11, 'end': 13}, {'entity': 'I-PER', 'score': 0.9998876, 'index': 10, 'word': '.', 'start': 13, 'end': 14}, {'entity': 'I-PER', 'score': 0.99997413, 'index': 11, 'word': '怀', 'start': 14, 'end': 15}, {'entity': 'I-PER', 'score': 0.99996626, 'index': 12, 'word': '特', 'start': 15, 'end': 16}]","[{'word': 'Robert Wright', 'tag': 'I-PER', 'score': 0.9999907}]","[{'word': '?伯特.怀特', 'tag': 'I-PER', 'score': 0.9998876}]"
"So not only do you have health benefits, you have environmental benefits.",[],?不光有利健康 有利?境,[],[],[]
But this is one of the incredibly rare situations where you also have economic benefits.,[],更?得的是 ?有??效益,[],[],[]
People can make their own cooking fuel from waste products.,[],人?用??作物就可以??,[],[],[]
They can generate income from this.,[],?能??,[],[],[]
They can save the money that they were going to spend on charcoal and they can produce excess and sell it in the market to people who aren't making their own.,[],他?能省下原本?木炭的? 自己生??售 ???人,[],[],[]
"It's really rare that you don't have trade-offs between health and economics, or environment and economics.",[],?得的是，?不?造成 健康与???展，或?境与??不可兼得的窘境,[],[],[]
So this is a project that I just find extremely exciting and I'm really looking forward to see where it takes us.,[],所以???目最振?人心了 我期望看到它未?的?展前景,[],[],[]
"So when we talk about, now, the future we will create, one of the things that I think is necessary is to have a very clear vision of the world that we live in.",[],?到未? 我?得有必要 清晰地??我?所?的??世界,[],[],[]
"And now, I don't actually mean the world that we live in.",[],我不是指我?自己生活的??小世界,[],[],[]
I mean the world where women spend two to three hours everyday grinding grain for their families to eat.,[],而是另一?世界。在那里，?女每天花2-3?小? 碾谷才能?活家人,[],[],[]
"I mean the world where advanced building materials means cement roofing tiles that are made by hand, and where, when you work 10 hours a day, you're still only earning 60 dollars in a month.",[],在那里，所?的高?建材 其?就是人工造的水泥屋?板 在那里，就算你一天做10小? 一?月也才?60美元,[],[],[]
I mean the world where women and children spend 40 billion hours a year fetching water.,[],在那里，?女和儿童成天做的就是打水，一年400?小?,[],[],[]
That's as if the entire workforce of the state of California worked full time for a year doing nothing but fetching water.,"[{'entity': 'I-LOC', 'score': 0.9999963, 'index': 14, 'word': '▁California', 'start': 50, 'end': 60}]",工?相?加州所有??力的集合 整年全?打水,"[{'entity': 'I-LOC', 'score': 0.99999595, 'index': 5, 'word': '加州', 'start': 4, 'end': 6}]","[{'word': 'California', 'tag': 'I-LOC', 'score': 0.9999963}]","[{'word': '加州', 'tag': 'I-LOC', 'score': 0.99999595}]"
"It's a place where, for example, if this were India, in this room, only three of us would have a car.","[{'entity': 'I-LOC', 'score': 0.99999857, 'index': 14, 'word': '▁India', 'start': 46, 'end': 51}]",如果?里是印度 那么在坐的只有三分之一的人有?,"[{'entity': 'I-LOC', 'score': 0.99999785, 'index': 4, 'word': '印度', 'start': 5, 'end': 7}]","[{'word': 'India', 'tag': 'I-LOC', 'score': 0.99999857}]","[{'word': '印度', 'tag': 'I-LOC', 'score': 0.99999785}]"
"If this were Afghanistan, only one person in this room would know how the use the Internet.","[{'entity': 'I-LOC', 'score': 0.99999774, 'index': 4, 'word': '▁Afghanistan', 'start': 13, 'end': 24}, {'entity': 'I-MISC', 'score': 0.9941402, 'index': 18, 'word': '▁Internet', 'start': 82, 'end': 90}]",如果是阿富汗 在坐的只有一人知道怎么上网,"[{'entity': 'I-LOC', 'score': 0.9999951, 'index': 3, 'word': '阿富汗', 'start': 3, 'end': 6}]","[{'word': 'Afghanistan', 'tag': 'I-LOC', 'score': 0.99999774}, {'word': 'Internet', 'tag': 'I-MISC', 'score': 0.9941402}]","[{'word': '阿富汗', 'tag': 'I-LOC', 'score': 0.9999951}]"
"If this were Zambia -- 300 of you would be farmers, 100 of you would have AIDS or HIV.","[{'entity': 'I-LOC', 'score': 0.9999951, 'index': 4, 'word': '▁Z', 'start': 13, 'end': 14}, {'entity': 'I-LOC', 'score': 0.99999666, 'index': 5, 'word': 'ambia', 'start': 14, 'end': 19}, {'entity': 'I-MISC', 'score': 0.9977824, 'index': 20, 'word': '▁AIDS', 'start': 74, 'end': 78}, {'entity': 'I-MISC', 'score': 0.99676055, 'index': 22, 'word': '▁HIV', 'start': 82, 'end': 85}]",如果是?比?，你?中就有300??民 100?人有艾滋病或感染艾滋病毒,"[{'entity': 'I-LOC', 'score': 0.9999882, 'index': 3, 'word': '?', 'start': 3, 'end': 4}, {'entity': 'I-LOC', 'score': 0.9999914, 'index': 4, 'word': '比', 'start': 4, 'end': 5}, {'entity': 'I-LOC', 'score': 0.99998105, 'index': 5, 'word': '?', 'start': 5, 'end': 6}]","[{'word': 'Zambia', 'tag': 'I-LOC', 'score': 0.9999951}, {'word': 'AIDS', 'tag': 'I-MISC', 'score': 0.9977824}, {'word': 'HIV', 'tag': 'I-MISC', 'score': 0.99676055}]","[{'word': '?比?', 'tag': 'I-LOC', 'score': 0.99998105}]"
And more than half of you would be living on less than a dollar a day.,[],一半以上的人日收入不足1美元,[],[],[]
These are the issues that we need to come up with solutions for.,[],?些??都?在我?面前,[],[],[]
"These are the issues that we need to be training our engineers, our designers, our business people, our entrepreneurs to be facing.",[],需要我?培?工程? ???，商人，企?家?解?,[],[],[]
These are the solutions that we need to find.,[],?些才是需要?快解?的??,[],[],[]
I have a few areas that I believe are especially important that we address.,[],有些??我?得特?重要,[],[],[]
"One of them is creating technologies to promote micro-finance and micro-enterprise, so that people who are living below the poverty line can find a way to move out -- and that they're not doing it using the same traditional basket making, poultry rearing, etc.",[],一?就是?找技??推?小型金融和小型企? 那生活在?困?以下的人就有了出路 而不是像?在?? 通???的??子、?家禽??生,[],[],[]
But there are new technologies and new products that they can make on a small scale.,[],?在我?已?有了 能小?模?作的新技?和新?品,[],[],[]
The next thing I believe is that we need to create technologies for poor farmers to add value to their own crops.,[],另外，我??需要??苦?民?明新技? 增加?作物价值,[],[],[]
"And we need to rethink our development strategies, so that we're not promoting educational campaigns to get them to stop being farmers, but rather to stop being poor farmers.",[],我??需要重新思考我?的?展策略 推?教育 不是?他?都不做?民 而是不做?苦?民,[],[],[]
And we need to think about how we can do that effectively.,[],我??要思考如何提高效率,[],[],[]
We need to work with the people in these communities and give them the resources and the tools that they need to solve their own problems. That's the best way to do it.,[],我?需要和社?合作 提供他?所需的?源和工具 ?解?他?的??。?是最好的方法,[],[],[]
We shouldn't be doing it from outside.,[],我?不能只做外在的努力,[],[],[]
"So we need to create this future, and we need to start doing it now.",[],我?要?造未?，就要??在?始,[],[],[]
Thank you.,[],??,[],[],[]
"Chris Anderson: Thank you, incredible. Stay here. Tell us -- just while we see if someone has a question -- just tell us about one of the other things that you've worked on.","[{'entity': 'I-PER', 'score': 0.99999, 'index': 1, 'word': '▁Chris', 'start': 0, 'end': 5}, {'entity': 'I-PER', 'score': 0.9999896, 'index': 2, 'word': '▁Anderson', 'start': 6, 'end': 14}]",（鼓掌） 主持人安德森：我??看看有?有??要提?的 与此同?你能不能再??你做?的其他事情,"[{'entity': 'I-PER', 'score': 0.99998164, 'index': 7, 'word': '安', 'start': 8, 'end': 9}, {'entity': 'I-PER', 'score': 0.99998045, 'index': 8, 'word': '德', 'start': 9, 'end': 10}, {'entity': 'I-PER', 'score': 0.9999536, 'index': 9, 'word': '森', 'start': 10, 'end': 11}]","[{'word': 'Chris Anderson', 'tag': 'I-PER', 'score': 0.9999896}]","[{'word': '安德森', 'tag': 'I-PER', 'score': 0.9999536}]"
"Amy Smith: Some of the other things we're working on are ways to do low-cost water quality testing, so that communities can maintain their own water systems, know when they're working, know when they treat them, etc.","[{'entity': 'I-PER', 'score': 0.9999926, 'index': 1, 'word': '▁Amy', 'start': 0, 'end': 3}, {'entity': 'I-PER', 'score': 0.999995, 'index': 2, 'word': '▁Smith', 'start': 4, 'end': 9}]",艾米.史密斯：?在我?在研究 低成本水???法 ?助社???水系? 使他?知道他?的系?什么?候有效，什么?候需要清洁?理等等,"[{'entity': 'I-PER', 'score': 0.99963856, 'index': 1, 'word': '▁', 'start': 0, 'end': 1}, {'entity': 'I-PER', 'score': 0.9999434, 'index': 2, 'word': '艾', 'start': 0, 'end': 1}, {'entity': 'I-PER', 'score': 0.9999862, 'index': 3, 'word': '米', 'start': 1, 'end': 2}, {'entity': 'I-PER', 'score': 0.9999387, 'index': 4, 'word': '.', 'start': 2, 'end': 3}, {'entity': 'I-PER', 'score': 0.9999609, 'index': 5, 'word': '史', 'start': 3, 'end': 4}, {'entity': 'I-PER', 'score': 0.9999913, 'index': 6, 'word': '密', 'start': 4, 'end': 5}, {'entity': 'I-PER', 'score': 0.99998367, 'index': 7, 'word': '斯', 'start': 5, 'end': 6}]","[{'word': 'Amy Smith', 'tag': 'I-PER', 'score': 0.9999926}]","[{'word': '艾米.史密斯', 'tag': 'I-PER', 'score': 0.9999387}]"
We're also looking at low-cost water-treatment systems.,[],我?也在?求低成本水治理系?,[],[],[]
One of the really exciting things is looking at solar water disinfection and improving the ability to be able to do that.,[],比如利用太?能消毒，?很棒的 但我??需要提高它的效率,[],[],[]
CA: What's the bottleneck preventing this stuff getting from scale?,"[{'entity': 'I-ORG', 'score': 0.9198437, 'index': 1, 'word': '▁CA', 'start': 0, 'end': 2}]",主持人：有什么瓶????阻???技?得到推?？,[],"[{'word': 'CA', 'tag': 'I-ORG', 'score': 0.9198437}]",[]
"Do you need to find entrepreneurs, or venture capitalists, or what do you need to take what you've got and get it to scale?",[],是否需要企?家，???本?助 或是其他?助推??技?？,[],[],[]
AS: I think it's large numbers of people moving it forward.,"[{'entity': 'I-ORG', 'score': 0.9897739, 'index': 1, 'word': '▁AS', 'start': 0, 'end': 2}]",艾米.史密斯：要的，?需要很多人合作,"[{'entity': 'I-PER', 'score': 0.9999026, 'index': 1, 'word': '▁', 'start': 0, 'end': 1}, {'entity': 'I-PER', 'score': 0.99997485, 'index': 2, 'word': '艾', 'start': 0, 'end': 1}, {'entity': 'I-PER', 'score': 0.9999906, 'index': 3, 'word': '米', 'start': 1, 'end': 2}, {'entity': 'I-PER', 'score': 0.9999757, 'index': 4, 'word': '.', 'start': 2, 'end': 3}, {'entity': 'I-PER', 'score': 0.99996233, 'index': 5, 'word': '史', 'start': 3, 'end': 4}, {'entity': 'I-PER', 'score': 0.9999927, 'index': 6, 'word': '密', 'start': 4, 'end': 5}, {'entity': 'I-PER', 'score': 0.9999839, 'index': 7, 'word': '斯', 'start': 5, 'end': 6}]","[{'word': 'AS', 'tag': 'I-ORG', 'score': 0.9897739}]","[{'word': '艾米.史密斯', 'tag': 'I-PER', 'score': 0.99996233}]"
It's a difficult thing -- it's a marketplace which is very fragmented and a consumer population with no income.,[],?很?，因???市?很零散 消?群体又?什么收入,[],[],[]
So you can't use the same models that you use in the United States for making things move forward.,"[{'entity': 'I-LOC', 'score': 0.999998, 'index': 15, 'word': '▁United', 'start': 53, 'end': 59}, {'entity': 'I-LOC', 'score': 0.99999726, 'index': 16, 'word': '▁States', 'start': 60, 'end': 66}]",所以美?的商?模式 不能助其?展,"[{'entity': 'I-LOC', 'score': 0.99788934, 'index': 2, 'word': '美?的', 'start': 2, 'end': 5}]","[{'word': 'United States', 'tag': 'I-LOC', 'score': 0.99999726}]","[{'word': '美?的', 'tag': 'I-LOC', 'score': 0.99788934}]"
"And we're a pretty small staff, which is me.",[],而且我?人手不足，就我一?光杆司令,[],[],[]
"So, you know, I do what I can with the students.",[],所以我和我的?生??我?所能,[],[],[]
We have 30 students a year go out into the field and try to implement this and move it forward.,[],我?有30??生在???域研究 如何?用并推??些技?,[],[],[]
"The other thing is you have to do things with a long time frame, as, you know, you can't expect to get something done in a year or two years; you have to be looking five or 10 years ahead.",[],另外，?些事是?期工程 不可能一蹴而就 ?需要5-10年??,[],[],[]
"But I think with the vision to do that, we can move forward.",[],但是我相信只要有信心我?就能成功,[],[],[]
"A public, Dewey long ago observed, is constituted through discussion and debate.","[{'entity': 'I-PER', 'score': 0.99999225, 'index': 4, 'word': '▁De', 'start': 10, 'end': 12}, {'entity': 'I-PER', 'score': 0.999946, 'index': 5, 'word': 'we', 'start': 12, 'end': 14}, {'entity': 'I-PER', 'score': 0.99997485, 'index': 6, 'word': 'y', 'start': 14, 'end': 15}]",“共和”概念，正如美?哲?家杜威很久之前所?察到的， 通???和??而成。,"[{'entity': 'I-MISC', 'score': 0.9999888, 'index': 8, 'word': '美?', 'start': 9, 'end': 11}, {'entity': 'I-PER', 'score': 0.9999827, 'index': 11, 'word': '杜', 'start': 14, 'end': 15}, {'entity': 'I-PER', 'score': 0.9999857, 'index': 12, 'word': '威', 'start': 15, 'end': 16}]","[{'word': 'Dewey', 'tag': 'I-PER', 'score': 0.999946}]","[{'word': '美?', 'tag': 'I-MISC', 'score': 0.9999888}, {'word': '杜威', 'tag': 'I-PER', 'score': 0.9999827}]"
"If we are to call the tyranny of assumptions into question, and avoid doxa, the realm of the unquestioned, then we must be willing to subject our own assumptions to debate and discussion.",[],如果我??疑暴政的假想， 避免不?推敲的教?， 那么我?必?愿意把自己的假想 ?行??辨?。,[],[],[]
"It is in this spirit that I join into a discussion of one of the critical issues of our time, namely, how to mobilize different forms of capital for the project of state building.",[],正是秉??种精神我才?此?与?? ??我??代的????， 即如何??各式各?的?本 ??家重建服?。,[],[],[]
"To put the assumptions very clearly: capitalism, after 150 years, has become acceptable, and so has democracy.",[],首先明晰我?的假?， ?本主???150年的?展已被??接受， 民主亦然。,[],[],[]
"If we looked in the world of 1945 and looked at the map of capitalist economies and democratic polities, they were the rare exception, not the norm.",[],如果我?回看1945年的世界， 并且查看???本主???体系及民主政治版?， 它?只是少?，并非主流。,[],[],[]
"The question now, however, is both about which form of capitalism and which type of democratic participation.",[],然而目前的??是， ??何种?本主?体制 及何种民主?与机制。,[],[],[]
But we must acknowledge that this moment has brought about a rare consensus of assumptions.,[],但我?必?承? 此刻要?起 ??的共??成一致。,[],[],[]
"And that provides the ground for a type of action, because consensus of each moment allows us to act.",[],及提供基? 以促成一种行?， 因?每??刻的共? 能?我?共同行?。,[],[],[]
"And it is necessary, no matter how fragile or how provisional our consensus, to be able to move forward.",[],而且?是必?的，不管 我?的共?如何脆弱或短?， 共?能?我?前?。,[],[],[]
But the majority of the world neither benefits from capitalism nor from democratic systems.,[],但是世界大部分地? 既?有??本主?体系?利 也?有?民主体系里?利。,[],[],[]
"Most of the globe experiences the state as repressive, as an organization that is concerned about denial of rights, about denial of justice, rather than provision of it.",[],全球大部分?家的?? 都是??美?是?抑性的 作?一种 ?注拒??利 否?正?的??， 而不是提供?利和正?的机构。,"[{'entity': 'I-LOC', 'score': 0.99999845, 'index': 9, 'word': '美?', 'start': 15, 'end': 17}]",[],"[{'word': '美?', 'tag': 'I-LOC', 'score': 0.99999845}]"
"And in terms of experience of capitalism, that the rest of the globe experiences.",[],??本主??展?程?看， 其全球?? 主要有?方面，,[],[],[]
"First, extractive industry.",[],首先是?源采掘,[],[],[]
"Blood diamonds, smuggled emeralds, timber, that is cut right from under the poorest.",[],血?，?石走私， 木材， ???掠??富。,[],[],[]
Second is technical assistance.,[],其次是技?援助。,[],[],[]
"And technical assistance might shock you, but it's the worst form of -- today -- of the ugly face of the developed world to the developing countries.",[],技?援助和你想的不一?， 但它是?今最差?的形式， 它表?出了???家??展中?家,[],[],[]
"Tens of billions of dollars are supposedly spent on building capacity with people who are paid up to 1,500 dollars a day, who are incapable of thinking creatively, or organically.",[],想象一下上百?美元 被一些人投入能力建? 他?每天最高得到1500美元， ?不能 ?造性地 ?立地思考。,[],[],[]
"Next assumption -- and of course the events of July 7, I express my deep sympathy, and before that, September 11 -- have reminded us we do not live in three different worlds.",[],其次，?然我? 6月７日的事件 深表同情，?有９１１， ?些都提醒我? 我?不是生活在三?不同的世界，,"[{'entity': 'I-MISC', 'score': 0.702698, 'index': 20, 'word': '11', 'start': 24, 'end': 26}]",[],"[{'word': '11', 'tag': 'I-MISC', 'score': 0.702698}]"
We live in one world.,[],而是一?。,[],[],[]
But that's easily said.,[],???儿?,[],[],[]
But we are not dealing with the implications of the one world that we are living in.,[],我?并不是在和 我?所生活的世界的含?打交道。,[],[],[]
"And that is that if we want to have one world, this one world cannot be based on huge pockets of exclusion, and then inclusion for some.",[],也就是?，如果我?想要?有一?世界， ??世界是不能建立在 先有巨大的排斥， 然后再?其中一些?行包容之上的。,[],[],[]
"We must now finally come to think about the premises of a truly global world, in relationship to the regime of rights and responsibilities and accountabilities that are truly global in scope.",[],我??在?于必??思考一下 一?真正的全球型世界 的前提是什么， 与?力政?和 ?任感和可靠性之?的?系 在全球?度?是怎?的。,[],[],[]
"Otherwise we will be missing this open moment in history, where we have a consensus on both the form of politics and the form of economics.",[],否?我??? ?失???史上的?放?刻， 一?我?在政治 和??的形式 ?成共?的?刻。,[],[],[]
What is one of these organizations to pick?,[],?三???中??哪一?呢？,[],[],[]
"We have three critical terms: economy, civil society and the state.",[],我?有3?很??的??： ??， 公民社? 和?家。,[],[],[]
"I will not deal with those first two, except to say that uncritical transfer of assumptions, from one context to another, can only make for disaster.",[],我并不涉及前??，只能? 不加批判的?假?的?移 ?一??境到另一??境之下， 只可能?成??。,[],[],[]
Economics taught in most of the elite universities are practically useless in my context.,[],???， 在最多的精英大?里都有?程 但?在我的?境中可以?是完全?有用的。,[],[],[]
My country is dominated by drug economy and a mafia.,[],我的?家 被毒品??和黑手党所操控,[],[],[]
"Textbook economics does not work in my context, and I have very few recommendations from anybody as to how to put together a legal economy.",[],?本上的???并不能 在我的?境中??作用， 而且我几乎得不到任何建?。,[],[],[]
"The poverty of our knowledge must become the first basis of moving forward, that works on the basis of mathematical modeling, for which I have enormous respect.",[],我?知?的?? 必?成?前?的 第一?基石。 而不是作用于??模型基?上的 框架， ?然，我?此?是深怀敬意的。,[],[],[]
My colleagues at Johns Hopkins were among the best.,"[{'entity': 'I-ORG', 'score': 0.9999342, 'index': 4, 'word': '▁John', 'start': 17, 'end': 21}, {'entity': 'I-ORG', 'score': 0.9999436, 'index': 5, 'word': 's', 'start': 21, 'end': 22}, {'entity': 'I-ORG', 'score': 0.9999411, 'index': 6, 'word': '▁Hopkins', 'start': 23, 'end': 30}]",我的在?翰霍普金斯的同事是最好的。,"[{'entity': 'I-ORG', 'score': 0.9999784, 'index': 4, 'word': '?翰', 'start': 3, 'end': 5}, {'entity': 'I-ORG', 'score': 0.9999865, 'index': 5, 'word': '霍', 'start': 5, 'end': 6}, {'entity': 'I-ORG', 'score': 0.9999864, 'index': 6, 'word': '普', 'start': 6, 'end': 7}, {'entity': 'I-ORG', 'score': 0.99998343, 'index': 7, 'word': '金', 'start': 7, 'end': 8}, {'entity': 'I-ORG', 'score': 0.99998057, 'index': 8, 'word': '斯', 'start': 8, 'end': 9}]","[{'word': 'Johns Hopkins', 'tag': 'I-ORG', 'score': 0.9999342}]","[{'word': '?翰霍普金斯', 'tag': 'I-ORG', 'score': 0.9999784}]"
"Second, instead of debating endlessly about what is the structure of the state, why don't we simplify and say, what are a series of functions that the state in the 21st century must perform?",[],第二， 不要再?止境地去?? 一??家的?构是什么?的， 我??什么不能?其?化， 而去??一??家21世? 必?具?的一系列功能是什么？,[],[],[]
